title,Token,stopword,stemmed,label
ngatiyana terjun langsung menemui warga menampung aspirasi masyarakat,"['ngatiyana', 'terjun', 'langsung', 'menemui', 'warga', 'menampung', 'aspirasi', 'masyarakat']","['ngatiyana', 'terjun', 'langsung', 'menemui', 'warga', 'menampung', 'aspirasi', 'masyarakat']",ngatiyana terjun langsung temu warga tampung aspirasi masyarakat,1
spesifikasi redmi 10c hp gaming murah rp 1 jutaan,"['spesifikasi', 'redmi', '10c', 'hp', 'gaming', 'murah', 'rp', '1', 'jutaan']","['spesifikasi', 'redmi', '10c', 'hp', 'gaming', 'murah', '1', 'jutaan']",spesifikasi redmi 10c hp gaming murah 1 juta,0
puluhan rumah di perum griya zavira cilawu terancam terbawa longsor warga minta pemkab segera bertindak,"['puluhan', 'rumah', 'di', 'perum', 'griya', 'zavira', 'cilawu', 'terancam', 'terbawa', 'longsor', 'warga', 'minta', 'pemkab', 'segera', 'bertindak']","['puluhan', 'rumah', 'perum', 'griya', 'zavira', 'cilawu', 'terancam', 'terbawa', 'longsor', 'warga', 'pemkab', 'bertindak']",puluh rumah perum griya zavira cilawu ancam bawa longsor warga pemkab tindak,2
prakiraan cuaca kota-kota besar di indonesia untuk senin 25 juli 2022,"['prakiraan', 'cuaca', 'kota', '-', 'kota', 'besar', 'di', 'indonesia', 'untuk', 'senin', '25', 'juli', '2022']","['prakiraan', 'cuaca', 'kota', '-', 'kota', 'indonesia', 'senin', '25', 'juli', '2022']",prakira cuaca kota - kota indonesia senin 25 juli 2022,0
kurang dari 24 jam pelaku pembunuh remaja diciduk saat coba melarikan diri,"['kurang', 'dari', '24', 'jam', 'pelaku', 'pembunuh', 'remaja', 'diciduk', 'saat', 'coba', 'melarikan', 'diri']","['24', 'jam', 'pelaku', 'pembunuh', 'remaja', 'diciduk', 'coba', 'melarikan']",24 jam laku bunuh remaja ciduk coba lari,2
bawaslu kbb butuh anggaran rp23 miliar untuk pilkada serentak 2024,"['bawaslu', 'kbb', 'butuh', 'anggaran', 'rp23', 'miliar', 'untuk', 'pilkada', 'serentak', '2024']","['bawaslu', 'kbb', 'butuh', 'anggaran', 'rp23', 'miliar', 'pilkada', 'serentak', '2024']",bawaslu kbb butuh anggar rp23 miliar pilkada serentak 2024,0
lansia menjadi kelompok paling rentan selama pandemi covid-19,"['lansia', 'menjadi', 'kelompok', 'paling', 'rentan', 'selama', 'pandemi', 'covid', '-', '19']","['lansia', 'kelompok', 'rentan', 'pandemi', 'covid', '-', '19']",lansia kelompok rentan pandemi covid - 19,0
terdakwa kasus kebakaran bengkel di tangerang divonis 8 tahun bui ph keputusan hakim bijak,"['terdakwa', 'kasus', 'kebakaran', 'bengkel', 'di', 'tangerang', 'divonis', '8', 'tahun', 'bui', 'ph', 'keputusan', 'hakim', 'bijak']","['terdakwa', 'kebakaran', 'bengkel', 'tangerang', 'divonis', '8', 'bui', 'ph', 'keputusan', 'hakim', 'bijak']",dakwa bakar bengkel tangerang vonis 8 bui ph putus hakim bijak,0
odong-odong terpental 10 meter dihantam kereta api 9 orang meninggal,"['odong', '-', 'odong', 'terpental', '10', 'meter', 'dihantam', 'kereta', 'api', '9', 'orang', 'meninggal']","['odong', '-', 'odong', 'terpental', '10', 'meter', 'dihantam', 'kereta', 'api', '9', 'orang', 'meninggal']",odong - odong pental 10 meter hantam kereta api 9 orang tinggal,2
cinta setelah cinta 26 juli 2022 tayang di sctv pukul 1930 wib niko dan ayu kepergok tio dan gurunya,"['cinta', 'setelah', 'cinta', '26', 'juli', '2022', 'tayang', 'di', 'sctv', 'pukul', '1930', 'wib', 'niko', 'dan', 'ayu', 'kepergok', 'tio', 'dan', 'gurunya']","['cinta', 'cinta', '26', 'juli', '2022', 'tayang', 'sctv', '1930', 'wib', 'niko', 'ayu', 'kepergok', 'tio', 'gurunya']",cinta cinta 26 juli 2022 tayang sctv 1930 wib niko ayu pergok tio guru,0
